P,H,epoch,train_L1,val_MAE,val_RMSE
30,1,1,1.1832,1.0796,1.4689
30,1,2,0.9279,0.7514,0.9416
30,1,3,0.789,0.6911,0.8628
30,1,4,0.7529,0.6702,0.8603
30,1,5,0.7529,0.6956,0.9088
30,1,6,0.7492,0.6859,0.8916
30,1,7,0.7483,0.6752,0.877
30,1,8,0.7388,0.6705,0.8659
30,1,9,0.7385,0.6945,0.9097
30,1,10,0.7398,0.6842,0.8936
30,1,11,0.7427,0.6725,0.8735
30,1,12,0.7365,0.6747,0.8751
30,1,13,0.7412,0.6993,0.918
30,1,14,0.7404,0.6917,0.9018
30,1,15,0.7416,0.6766,0.8778
30,1,16,0.7423,0.6764,0.8763
30,1,17,0.7395,0.6731,0.8708
30,1,18,0.7365,0.6777,0.879
30,1,19,0.7401,0.674,0.874
30,1,20,0.7347,0.6791,0.8857
30,1,21,0.7411,0.6742,0.8693
30,1,22,0.7361,0.68,0.8863
30,1,23,0.7337,0.674,0.8709
30,1,24,0.7359,0.6853,0.8948
30,1,25,0.7354,0.6748,0.8746
30,1,26,0.7368,0.6734,0.8702
30,1,27,0.732,0.6733,0.8748
30,1,28,0.7388,0.6742,0.8702
30,1,29,0.7391,0.6731,0.872
30,1,30,0.7309,0.6879,0.8987
30,1,TEST,,0.7982524037361145,1.0175077154068541
30,2,1,1.1798,1.0923,1.4854
30,2,2,0.948,0.7624,0.9365
30,2,3,0.8214,0.7635,0.9713
30,2,4,0.818,0.7386,0.9344
30,2,5,0.7996,0.7291,0.9266
30,2,6,0.8007,0.7304,0.9309
30,2,7,0.7934,0.7309,0.9419
30,2,8,0.7936,0.7328,0.9463
30,2,9,0.7937,0.7293,0.9388
30,2,10,0.7932,0.7406,0.9618
30,2,11,0.7935,0.7424,0.9661
30,2,12,0.8009,0.7352,0.9502
30,2,13,0.7931,0.7294,0.9385
30,2,14,0.793,0.7298,0.9379
30,2,15,0.7905,0.7346,0.9409
30,2,16,0.7917,0.7304,0.9389
30,2,17,0.792,0.7294,0.9393
30,2,18,0.7959,0.7307,0.935
30,2,19,0.789,0.7394,0.9587
30,2,20,0.7916,0.7306,0.9388
30,2,21,0.7908,0.7299,0.9389
30,2,22,0.7932,0.7343,0.9486
30,2,23,0.7912,0.7356,0.9526
30,2,24,0.7885,0.7319,0.938
30,2,25,0.7892,0.7312,0.937
30,2,26,0.7944,0.7489,0.9761
30,2,27,0.7905,0.7311,0.9392
30,2,28,0.7967,0.7432,0.9634
30,2,29,0.7895,0.7351,0.9422
30,2,30,0.7957,0.7319,0.9418
